GEOID,X,Y
4703700000685_6,-86.75085000670,36.17025550890
4703700000685_7,-86.74963489610,36.16765543230
4703700000685_8,-86.75050847860,36.16875322110
4703700000685_9,-86.74981932100,36.16740894580
4703700000685_10,-86.74777612650,36.16867588790
4703700000309_1,-86.65531325170,36.15896176030
4703700000309_2,-86.65747360880,36.15930833940
4703700000309_3,-86.65500229240,36.16175729370
4703700000309_4,-86.65545821210,36.16147542070
4703700000309_5,-86.65925896200,36.15941883180
4703700000309_6,-86.65876899730,36.16035803240
4703700000309_7,-86.65978899750,36.15782805720
4703700000309_8,-86.66284909150,36.15922861130
4703700000309_9,-86.65980642680,36.15846970250
4703700000309_10,-86.65435902840,36.15754666900
4703700000305_1,-86.64848323240,36.15980019120
4703700000305_2,-86.64651122710,36.15545267570
4703700000305_3,-86.64966549840,36.16009489340
4703700000305_4,-86.64607389140,36.15684403740
4703700000305_5,-86.64730729770,36.16048075050
4703700000305_6,-86.64292044340,36.15945979660
4703700000305_7,-86.64412208570,36.15524251920
4703700000305_8,-86.65104815290,36.15743646060
4703700000305_9,-86.64491221820,36.15686774080
4703700000305_10,-86.64237830400,36.15851256080
4703700000390_1,-86.61066162020,36.02702493400
4703700000390_2,-86.60342356660,36.03963262980
4703700000390_3,-86.60093287960,36.03186801600
4703700000390_4,-86.59871156670,36.03032749050
4703700000390_5,-86.60238833630,36.02668106350
4703700000390_6,-86.59542260250,36.02581889370
4703700000390_7,-86.59840372660,36.03219553770
4703700000390_8,-86.58871753230,36.02558054570
4703700000390_9,-86.60541204280,36.04030931350
4703700000390_10,-86.61032969270,36.03225426200
4703700000391_1,-86.61459047850,36.02258207020
4703700000391_2,-86.59568923330,36.01892627850
4703700000391_3,-86.60888851820,36.02405381860
4703700000391_4,-86.61437249020,36.00990502950
4703700000391_5,-86.60400856930,36.01170813010
4703700000391_6,-86.61526579570,36.01426712910
4703700000391_7,-86.60920339600,36.02102263190
4703700000391_8,-86.60158613760,36.01334994510
4703700000391_9,-86.59593699300,36.01857856390
4703700000391_10,-86.60586956470,36.02318608840
4703700000393_1,-86.58329083260,36.03283749770
4703700000393_2,-86.58057262810,36.02754143370
4703700000393_3,-86.58883916610,36.02823317430
4703700000393_4,-86.58461875430,36.02633720450
4703700000393_5,-86.58126044600,36.02724011630
4703700000393_6,-86.57934783020,36.02768773470
4703700000393_7,-86.58342105310,36.03037994530
4703700000393_8,-86.58881893720,36.02729608300
4703700000393_9,-86.58903732490,36.02834793520
4703700000393_10,-86.58454240970,36.03183981690
4703700000397_1,-86.58517017620,36.06734676870
4703700000397_2,-86.57187127230,36.07543750350
4703700000397_3,-86.58731516130,36.05954732780
4703700000397_4,-86.59145214620,36.06150565010
4703700000397_5,-86.58344848600,36.06839700120
4703700000397_6,-86.57471447560,36.05614549780
4703700000397_7,-86.58099133910,36.06626017050
4703700000397_8,-86.59243740130,36.06014168440
4703700000397_9,-86.58660548110,36.06069068430
4703700000397_10,-86.59089423560,36.05743970390
4703700000348_1,-86.60724655990,36.06289175010
4703700000348_2,-86.59820966590,36.06204565330
4703700000348_3,-86.60691942990,36.06301224390
4703700000348_4,-86.58885499460,36.07087760830
